#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Description
188,Skiploom,Planta,Volador,340,55,45,50,45,65,80,2,"La flor de su cabeza se abre y cierra según suba o
baje la temperatura."
189,Jumpluff,Planta,Volador,460,75,55,70,55,95,110,2,"Los vientos estacionales lo llevan por todo el mundo,
donde va soltando sus esporas."
190,Aipom,Normal,,360,55,70,55,40,55,85,2,"Vive en lo alto de los árboles. Cuando salta de rama
en rama, usa su cola para equilibrarse."
191,Sunkern,Planta,,180,30,30,30,30,30,30,2,"Puede caer del cielo de repente. Si le ataca un
Spearow, moverá violentamente sus hojas."
192,Sunflora,Planta,,425,75,75,55,105,85,30,2,"A medida que se acerca el verano, va adquiriendo un
color más vivo e intenso en los pétalos de la cara."
193,Yanma,Bicho,Volador,390,65,65,45,75,45,95,2,"Su campo visual es de 360° sin girar la cabeza.
Detecta hasta las presas que están a su espalda."
194,Wooper,Agua,Tierra,210,55,45,45,25,25,15,2,"Este Pokémon vive en aguas frías. Sale del agua para
buscar comida cuando refresca el ambiente."
195,Quagsire,Agua,Tierra,430,95,85,85,65,65,35,2,"Es un Pokémon bastante perezoso. Para pescar
permanece en el fondo del río con la boca abierta."
196,Espeon,Psiquico,,525,65,65,60,130,95,110,2,"Al predecir el siguiente movimiento de su rival,
chasquea el extremo de la cola bífida que tiene."
197,Umbreon,Siniestro,,525,95,65,110,60,130,65,2,"Creado cuando la luz lunar alteró la estructura
genética de Eevee. Busca presas en la oscuridad."
198,Murkrow,Siniestro,Volador,405,60,85,42,85,42,91,2,"Esconde objetos brillantes en un lugar secreto.
Meowth y Murkrow suelen saquear su escondite."
199,Slowking,Agua,Psiquico,490,95,75,80,100,110,30,2,"Su intelecto e intuición son increíbles. No pierde la
compostura en ninguna situación."
200,Misdreavus,Fantasma,,435,60,60,60,85,85,85,2,"Se deleita con el miedo, que absorbe con sus esferas
rojas. Por el día, duerme en la oscuridad."
201,Unown,Psiquico,,336,48,72,48,72,48,48,2,"Su cuerpo fino y plano aparece siempre en los muros.
Su forma parece tener algún significado."
202,Wobbuffet,Psiquico,,405,190,33,58,33,58,33,2,"Odia la luz y las sacudidas. Si le atacan, infla su
cuerpo para aumentar su contraataque."
203,Girafarig,Normal,Psiquico,455,70,80,65,90,65,85,2,"Cuando duerme, la cabeza de su cola se queda
vigilando, ya que ella no necesita dormir."
204,Pineco,Bicho,,290,50,65,90,35,35,15,2,"Le gusta engrosar su coraza añadiendo cortezas de
árbol. El aumento de peso no le molesta."
205,Forretress,Bicho,Acero,465,75,90,140,60,60,40,2,"Se protege con su concha de acero de tal manera que
solo se pueden ver sus ojos."
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,"Este Pokémon escapa hacia atrás perforando el suelo
con su cola, si es descubierto."
207,Gligar,Tierra,Volador,430,65,75,105,35,65,85,2,"A veces se sujeta a los precipicios. Cuando divisa una
presa, despliega sus alas y planea para atacar."
208,Steelix,Acero,Tierra,510,75,85,200,55,65,30,2,"Su cuerpo es más duro que cualquier metal debido a la
gran presión y calor de su hábitat."
209,Snubbull,Hada,,300,60,80,50,40,40,30,2,"Muy travieso por naturaleza, a muchas mujeres les
gusta jugar con él porque es muy cariñoso."
210,Granbull,Hada,,450,90,120,75,60,60,45,2,"A pesar de su aspecto, es muy tímido. Sin embargo,
cuando se enfada, ataca con sus colmillos."
211,Qwilfish,Agua,Veneno,430,65,95,75,55,55,85,2,"Para arrojar sus venenosas púas, infla su cuerpo
bebiendo hasta diez litros de agua de una sola vez."
212,Scizor,Bicho,Acero,500,70,130,100,55,80,65,2,"Las pinzas que posee tienen acero. Con ellas, no hay
nada que se le resista. Rompen todo lo que pillan."
213,Shuckle,Bicho,Roca,505,20,10,230,10,230,5,2,"Las bayas que almacena en su caparazón con forma
de tarro se convierten al final en un espeso zumo."
214,Heracross,Bicho,Lucha,500,80,125,75,40,95,85,2,"Este fuerte Pokémon clava su preciado cuerno en la
tripa del enemigo, lo eleva y luego lo arroja."
215,Sneasel,Siniestro,Hielo,430,55,95,55,35,75,115,2,"Se alimenta de huevos robados en nidos. Clava sus
afiladas garras en los puntos débiles de sus rivales."
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,"Si encuentra miel, brillará la marca de su frente.
Se lame las garras cuando están llenas de miel."
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,"Capaz de percibir cualquier tipo de aroma, encuentra
sin problemas todo alimento enterrado bajo tierra."
218,Slugma,Fuego,,250,40,40,40,70,40,20,2,"Asiduo a las zonas volcánicas, se desliza lentamente
en busca de lugares calientes."
219,Magcargo,Fuego,Roca,410,50,50,120,80,80,30,2,"En ocasiones, su resbaladiza concha lanza intensas
llamaradas que recorren todo su cuerpo."
220,Swinub,Hielo,Tierra,250,50,50,40,30,30,50,2,"Frota su hocico contra el suelo para desenterrar
comida. A veces descubre aguas termales."
221,Piloswine,Hielo,Tierra,450,100,100,80,60,60,50,2,"Aunque tiene las patas cortas, las fuertes pezuñas le
permiten agarrarse bien al suelo, a pesar del hielo."
222,Corsola,Agua,Roca,380,55,55,85,65,85,35,2,"Crece y muda continuamente. La parte superior de su
cabeza es muy apreciada por su belleza."
223,Remoraid,Agua,,300,35,65,35,65,35,65,2,"Tiene muy buena puntería. Dispara agua a sus presas,
hasta si se están moviendo, a más de 100 metros."
224,Octillery,Agua,,480,75,105,75,105,75,45,2,"Tiene querencia por los agujeros. Ataca escupiendo
tinta metido en las grietas de rocas o en recipientes."
225,Delibird,Hielo,Volador,330,45,55,45,65,45,75,2,"Transporta alimentos en su cola enrollada. Le gusta
compartir su comida con los montañistas perdidos."
226,Mantine,Agua,Volador,465,65,40,70,80,140,70,2,"Acumula velocidad nadando y puede saltar fuera del
agua, alcanzando 100 metros de altura, para
descender luego planeando."
227,Skarmory,Acero,Volador,465,65,80,140,40,70,70,2,"Después de anidar en zarzas, las alas de sus polluelos
crecen fortalecidas por los rasguños."
228,Houndour,Siniestro,Fuego,330,45,60,30,80,50,65,2,"Al amanecer, resuena por la zona su inquietante
aullido para anunciar que es su territorio."
229,Houndoom,Siniestro,Fuego,500,75,90,50,110,80,95,2,"Hace mucho, la gente creía que sus horripilantes
aullidos eran de la muerte personificada."
230,Kingdra,Agua,Dragon,540,75,95,95,95,95,85,2,"Dicen que suele esconderse en cuevas submarinas.
Puede crear torbellinos al bostezar."
231,Phanpy,Tierra,,330,90,60,60,40,40,40,2,"Como muestra de afecto, golpea con su trompa.
Aunque es tan fuerte que te mandará lejos."
232,Donphan,Tierra,,500,90,120,120,60,60,50,2,"Tiene afilados y duros colmillos, y una gruesa piel.
Su Placaje es tan fuerte que puede derribar una casa."
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,"La investigación mejoró sus habilidades. A veces,
puede actuar de forma no programada."
234,Stantler,Normal,,465,73,95,62,85,65,85,2,"Mirar a su cornamenta provoca una extraña sensación
de pérdida de equilibrio."
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,"Marca su territorio usando su cola a modo de pincel.
Ha hecho más de 5000 marcas diferentes."
236,Tyrogue,Lucha,,210,35,35,35,35,35,35,2,"Ataca siempre con mucha energía. Para fortalecerse a
sí mismo, sigue luchando aunque pierda."
237,Hitmontop,Lucha,,455,50,95,95,35,110,70,2,"Gira a gran velocidad al luchar. La fuerza centrífuga
multiplica su poder de destrucción por diez."
238,Smoochum,Hielo,Psiquico,305,45,30,15,85,65,65,2,"Sus labios son la parte más sensible de su cuerpo.
Siempre los usa para examinar las cosas."
239,Elekid,Electrico,,360,45,63,37,65,55,95,2,"Genera electricidad girando los brazos. No obstante,
es incapaz de almacenar la energía creada."
240,Magby,Fuego,,365,45,75,37,70,55,83,2,"Es pequeño, pero su cuerpo puede llegar a alcanzar
600 °C. Cuando inspira y espira, expulsa llamas por la
nariz y por la boca."
241,Miltank,Normal,,490,95,80,105,40,70,100,2,"Si tiene crías, la leche que produce contiene muchos
más nutrientes de lo normal."
242,Blissey,Normal,,540,255,10,10,75,135,55,2,"Los huevos que pone están llenos de felicidad. Solo
con probar un poquito de uno, cualquiera sonríe."
243,Raikou,Electrico,,580,90,85,75,115,100,115,2,"Las nubes de lluvia que lleva le permiten lanzar rayos
a voluntad. Dicen que apareció con un rayo."
244,Entei,Fuego,,580,115,115,85,90,75,100,2,"Un Pokémon que corre por la tierra. Dicen que siempre
nace uno cuando aparece un nuevo volcán."
245,Suicune,Agua,,580,100,75,115,90,115,85,2,"Recorre el mundo para purificar agua contaminada.
Corre veloz con el viento del norte."
246,Larvitar,Roca,Tierra,300,50,64,50,45,50,41,2,"Se alimenta de tierra. Después de comer una gran
montaña, se duerme y empieza a crecer."
247,Pupitar,Roca,Tierra,410,70,84,70,65,70,51,2,"Su cuerpo es duro como la roca. Se autopropulsa
como un cohete soltando los gases de su interior."
248,Tyranitar,Roca,Siniestro,600,100,134,110,95,100,61,2,"En una de sus poderosas garras tiene el poder de
hacer temblar la tierra y las montañas."
249,Lugia,Psiquico,Volador,680,106,90,130,90,154,110,2,"Duerme en una dorsal marina. Si bate sus alas, puede
causar tormentas de 40 días."
250,Ho-oh,Fuego,Volador,680,106,130,90,110,154,90,2,"Cuenta la leyenda que brilla en siete colores. Dicen
que deja un arcoíris tras de sí al volar."
251,Celebi,Psiquico,Planta,600,100,100,100,100,100,100,2,"Este Pokémon vaga por el tiempo. La hierba y los
árboles crecen por los campos por donde pasa."
252,Treecko,Planta,,310,40,45,35,65,55,70,3,"Escala superficies verticales muy rápido. Con la cola
detecta la humedad y prevé el tiempo que va a hacer."
253,Grovyle,Planta,,405,50,65,45,85,65,95,3,"Los desarrollados músculos que tiene en las
extremidades inferiores le hacen ser muy ágil y le
permiten dar grandes saltos."
254,Sceptile,Planta,,530,70,85,65,105,85,120,3,"Las hojas de sus brazos pueden cortar gruesos
árboles. Invencible en los combates en la jungla."
255,Torchic,Fuego,,310,45,60,40,70,50,45,3,"En su interior, guarda una llama que arde sin cesar.
Si se le abraza, se nota que tiene una temperatura
muy alta."
256,Combusken,Fuego,Lucha,405,60,85,60,85,60,55,3,"Su habilidad le permite dar diez patadas por segundo.
Lanza potentes gritos para intimidar."
257,Blaziken,Fuego,Lucha,530,80,120,70,110,70,80,3,"Puede saltar edificios de 30 plantas. Con sus golpes
de fuego quema a sus rivales."
258,Mudkip,Agua,,310,50,70,50,50,50,40,3,"Tiene una larga cola que le propulsa por el agua con
mucha potencia. A pesar de ser pequeño, tiene mucha
fuerza."
259,Marshtomp,Agua,Tierra,405,70,85,70,60,70,50,3,"Sus piernas robustas impiden que pierda el equilibrio y
caiga, incluso en el barro. Duerme bajo la arena."
260,Swampert,Agua,Tierra,535,100,110,90,85,90,60,3,"Con sus brazos duros como el acero puede partir
rocas gigantescas en mil pedazos de un solo golpe."
261,Poochyena,Siniestro,,220,35,55,35,30,30,35,3,"Es muy persistente. Si se fija en una presa, no la
dejará hasta que caiga agotada."
262,Mightyena,Siniestro,,420,70,90,70,60,60,70,3,"Siempre obedece a los buenos Entrenadores. Está
acostumbrado a vivir en jaurías en estado salvaje."
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,"Se mueve en zigzag. Se le da bien encontrar
objetos ocultos en la hierba e incluso enterrados."
264,Linoone,Normal,,420,78,70,61,50,61,100,3,"En línea recta corre a algo más de 100 km/h, pero no
es tan hábil si hay curvas de por medio."
265,Wurmple,Bicho,,195,45,45,35,20,30,20,3,"Le encanta comer hojas. Si le ataca un Starly, se
defenderá con sus púas."
266,Silcoon,Bicho,,205,50,35,55,25,25,15,3,"Se agarra con su seda a las ramas de un árbol y
espera su evolución bebiendo agua de lluvia."
267,Beautifly,Bicho,Volador,395,60,70,50,100,50,65,3,"Los dibujos de sus coloridas alas son muy peculiares.
Liba el néctar de las flores con su fina trompa."
268,Cascoon,Bicho,,205,50,35,55,25,25,15,3,"Está formado por seda que se endurece poco a
poco. Si se resquebraja el capullo, está a punto
de evolucionar."
269,Dustox,Bicho,Veneno,385,60,50,70,50,90,65,3,"Pokémon nocturno. Atraído por las luces de la ciudad,
se come las hojas y arbustos de las avenidas."
270,Lotad,Agua,Planta,220,40,30,30,40,50,30,3,"Parece una planta acuática. Hace de ferry para los
Pokémon que no saben nadar."
271,Lombre,Agua,Planta,340,60,50,50,60,70,50,3,"Vive en el agua y, cuando hace sol, se queda en la
orilla. De día duerme sobre las algas y de noche entra
en acción."
272,Ludicolo,Agua,Planta,480,80,70,70,90,100,70,3,"Cuando oye música alegre, sus músculos se llenan de
energía, y no puede evitar ponerse a bailar."
273,Seedot,Planta,,220,40,40,50,30,30,30,3,"Se cuelga de las ramas con el extremo de su cabeza.
A veces se cae cuando soplan vientos fuertes."
274,Nuzleaf,Planta,Siniestro,340,70,70,40,60,40,60,3,"Cuando usa la hoja de su cabeza como flauta, asusta
a la gente. Vive en lo más profundo de los bosques."
275,Shiftry,Planta,Siniestro,480,90,100,60,90,60,80,3,"Habita los bosques y se le tiene miedo. Es capaz
de leer los pensamientos del rival y actuar en
consecuencia."
276,Taillow,Normal,Volador,270,40,55,30,30,30,85,3,"Es un Pokémon valiente que no teme a los rivales
fuertes. Vuela en busca de climas templados."
277,Swellow,Normal,Volador,430,60,85,60,50,50,125,3,"Cuando se encuentra bien, pone firmes las plumas de
la cola doble que tiene. Remonta el vuelo de forma
muy elegante."
278,Wingull,Agua,Volador,270,40,30,30,55,30,85,3,"Sus largas alas aprovechan los vientos marinos para
planear. Cuando descansa, las pliega."
279,Pelipper,Agua,Volador,430,60,50,100,85,70,65,3,"Hunde su gran pico en el mar para sacar numerosas
presas junto con mucha agua."
280,Ralts,Psiquico,Hada,198,28,25,25,45,35,40,3,"Si sus cuernos perciben emociones positivas de
personas o Pokémon, su cuerpo se calienta un poco."
281,Kirlia,Psiquico,Hada,278,38,35,35,65,55,50,3,"Al percibir la alegría de su Entrenador refuerza sus
ataques psicoquinéticos. Cuando está contento, da
vueltas y baila."
282,Gardevoir,Psiquico,Hada,518,68,65,65,125,115,80,3,"Para proteger a su Entrenador, emplea todo su poder
psíquico en crear un pequeño agujero negro."
283,Surskit,Bicho,Agua,269,40,30,32,50,52,65,3,"Vive en estanques, pero cuando se desata una
tormenta puede aparecer en los charcos que se
forman en las ciudades."
284,Masquerain,Bicho,Volador,414,70,60,62,80,82,60,3,"Sus antenas tienen dibujos de ojos, mientras que sus
alas le permiten volar en cualquier dirección."
285,Shroomish,Planta,,295,60,40,60,40,60,35,3,"Prefiere los sitios húmedos. De día está tranquilamente
en el bosque, a la sombra. Expulsa polvo tóxico por la
cabeza."
286,Breloom,Planta,Lucha,460,60,130,80,60,60,70,3,"Sus cortos brazos se expanden cuando da puñetazos.
Tiene una técnica pugilística muy depurada."
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,"Slakoth se pasa todo el día holgazaneando y solo con
verlo a uno le entra mucha pereza."
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,"Su corazón palpita a un ritmo frenético, haciendo que
su sangre bulla, así que no puede estarse quieto ni un
segundo."
289,Slaking,Normal,,670,150,160,100,95,65,100,3,"El Pokémon más perezoso del mundo. Cambia de lugar
para coger la comida al alcance de su mano."
290,Nincada,Bicho,Tierra,266,31,45,90,30,30,40,3,"Como se ha pasado casi toda la vida viviendo bajo
tierra, no ve bien. Las antenas que tiene le ayudan
a orientarse."
291,Ninjask,Bicho,Volador,456,61,90,45,50,50,160,3,"Escuchar su zumbido de forma continuada provoca
jaquecas. Casi no se le ve de lo rápido que es."
292,Shedinja,Bicho,Fantasma,236,1,90,45,30,30,40,3,"Es el caparazón de un bicho que cobró vida. Si alguien
lo mira por la espalda, le robará el alma."
293,Whismur,Normal,,240,64,51,23,51,23,28,3,"Normalmente murmulla, pero cuando siente que hay
peligro se pone a chillar. Solo para cuando se le
cierran las orejas."
294,Loudred,Normal,,360,84,71,43,71,43,48,3,"Aspira profundamente y luego, usando sus fuertes
abdominales, suelta un potente vozarrón."
295,Exploud,Normal,,490,104,91,63,91,73,68,3,"Su aullido se puede oír a 10 km. Emite todo tipo de
sonidos desde los tubos de su cuerpo."
296,Makuhita,Lucha,,237,72,60,30,20,30,25,3,"Endurece su cuerpo golpeando grandes árboles sin
perder jamás el ánimo."
297,Hariyama,Lucha,,474,144,120,60,40,60,50,3,"Para aumentar su fuerza, da un pisotón en el suelo.
Puede lanzar un camión de 10 toneladas por los aires
de un puñetazo."
298,Azurill,Normal,Hada,190,50,20,40,20,40,20,3,"Vive cerca del agua. En la tierra se mueve muy rápido
botando sobre su gran cola."
299,Nosepass,Roca,,375,30,45,135,45,90,30,3,"Siempre apunta al norte con su nariz imantada. Con
ella reviste su cuerpo de objetos metálicos para
protegerse."
300,Skitty,Normal,,260,50,45,45,35,35,50,3,"No puede evitar ir tras las cosas que se mueven.
Hasta corre en círculos persiguiéndose la cola."
301,Delcatty,Normal,,380,70,65,65,55,55,70,3,"No soporta los lugares sucios. Le encanta acicalarse
el pelaje cuando está a gusto en un sitio."
302,Sableye,Siniestro,Fantasma,380,50,75,75,65,65,50,3,"Se oculta en cavernas oscuras. De tanto comer gemas,
sus ojos son piedras preciosas."
303,Mawile,Acero,Hada,380,50,85,85,55,55,50,3,"Engaña con su aspecto dócil; hace que el rival se
confíe y le da un mordisco con sus enormes e
implacables mandíbulas."
304,Aron,Acero,Roca,330,50,70,100,40,40,30,3,"Suele vivir en lugares inaccesibles de las montañas,
pero el hambre lo empuja a comer raíles y coches."
305,Lairon,Acero,Roca,430,60,90,140,50,50,40,3,"Le encanta comer hierro. Lucha por su territorio
embistiendo a sus rivales con su cuerpo de acero."
306,Aggron,Acero,Roca,530,70,110,180,60,60,50,3,"Hacen de toda una montaña su territorio. Cuantas más
cicatrices tienen, más curtidos en disputas. ¡Mucha
atención!"
307,Meditite,Lucha,Psiquico,280,30,40,55,40,55,60,3,"Se entrena en la profundidad de las montañas. Cuando
aumenta su poder espiritual con meditación, levita."
308,Medicham,Lucha,Psiquico,410,60,60,75,60,75,80,3,"Evita los ataques moviéndose de forma elegante,
como si bailara. Ataca dando un golpe devastador y
moviéndose igual."
309,Electrike,Electrico,,295,40,45,40,65,40,65,3,"Estimula sus músculos y aumenta sus reflejos con la
electricidad que almacena su pelaje."
310,Manectric,Electrico,,475,70,75,60,105,60,105,3,"No suele aparecer ante la gente. Dicen que suele
colocar su nido donde caen los rayos."
311,Plusle,Electrico,,405,60,50,40,85,75,95,3,"Anima a sus compañeros con pompones de chispas.
Roba energía de los postes telefónicos."
312,Minun,Electrico,,405,60,40,50,75,85,95,3,"La electricidad de Minun y Plusle es buena para la
circulación y para desentumecer músculos."
313,Volbeat,Bicho,,400,65,73,55,47,75,85,3,"Se comunica con otros iluminando su cola por la
noche. Le encanta el suave aroma de Illumise."
314,Illumise,Bicho,,400,65,47,55,73,75,85,3,"Con su dulce aroma guía a grupos de Volbeat para
que tracen hasta 200 dibujos distintos en el cielo
nocturno."
315,Roselia,Planta,Veneno,400,50,60,45,100,80,65,3,"Ataca con sus manos, en las que tiene un tipo de
veneno diferente en cada una. Cuanto más aroma,
mejor salud tiene."
316,Gulpin,Veneno,,302,70,43,53,43,53,40,3,"Sus sesos y corazón son diminutos; es casi todo
estómago. Sus jugos gástricos disuelven lo que sea."
317,Swalot,Veneno,,467,100,73,83,73,83,55,3,"Se traga cualquier cosa de una pieza. Sus poros
segregan fluidos tóxicos que dañan a sus enemigos."
318,Carvanha,Agua,Siniestro,305,45,90,20,65,20,65,3,"Atacan en grupo a los barcos y los hunden a base de
bocados. Habitan en los ríos de la jungla."
319,Sharpedo,Agua,Siniestro,460,70,120,40,95,40,95,3,"Con sus colmillos puede atravesar el acero. Nada a
120 km/h. Le llaman el Terror de los Mares."
320,Wailmer,Agua,,400,130,70,35,70,35,60,3,"Le gusta botar como una pelota de playa. Cuanta más
agua de mar traga, más alto puede llegar."
321,Wailord,Agua,,500,170,90,45,90,45,60,3,"Puede dejar fuera de combate a sus oponentes con el
impacto de su enorme cuerpo al caer en el agua tras
un salto."
322,Numel,Fuego,Tierra,305,60,60,40,65,45,35,3,"En su joroba almacena magma ardiente que se enfría
cuando llueve y lo ralentiza."
323,Camerupt,Fuego,Tierra,460,70,100,70,105,75,40,3,"Los volcanes de su joroba entran en erupción cada
10 años o cuando Camerupt se enfada mucho."
324,Torkoal,Fuego,,470,70,85,140,85,70,20,3,"Trabaja sin descanso en minas en desuso localizando
y extrayendo carbón."
325,Spoink,Psiquico,,330,60,25,35,70,80,60,3,"Bota continuamente usando su cola como muelle.
Salta para mantener el latido de su corazón."
326,Grumpig,Psiquico,,470,80,45,65,90,110,80,3,"Las perlas negras aumentan sus poderes psíquicos.
Controla las mentes de sus rivales con un extraño
baile."
327,Spinda,Normal,,360,60,60,60,60,60,60,3,"No hay dos Spinda que tengan idénticos pelajes.
Su tambaleo al bailar confunde a los rivales."
328,Trapinch,Tierra,,290,45,100,45,45,45,10,3,"Habita desiertos áridos. Cava fosas profundas, en las
que espera que caiga su presa."
329,Vibrava,Tierra,Dragon,340,50,70,50,50,50,70,3,"Al agitar a gran velocidad ambas alas, emite ondas
ultrasónicas que provocan fuertes dolores de cabeza."
330,Flygon,Tierra,Dragon,520,80,100,80,80,80,100,3,"Su medio es el desierto. Para esconderse, levanta
arena con las patas. Tiene los ojos protegidos con
mallas rojas."
331,Cacnea,Planta,,335,50,85,40,85,40,35,3,"Vive en regiones secas y con pocas lluvias. Una vez al
año, le brota una flor amarilla."
332,Cacturne,Planta,Siniestro,475,70,115,60,115,60,55,3,"Es un Pokémon nocturno. Busca presas agotadas por
el calor diurno del desierto."
333,Swablu,Normal,Volador,310,45,40,60,40,75,50,3,"Se desconoce el porqué, pero le encanta posarse
sobre la cabeza de los humanos y fingir que es un
gorro."
334,Altaria,Dragon,Volador,490,75,70,90,70,105,80,3,"Vuela pausadamente por el cielo azul. Su hermoso
trino cautiva a todo aquel que lo escucha."
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,"Hace muchos años que se enfrenta a Seviper. Su arma
más eficaz son sus zarpas afiladas."
336,Seviper,Veneno,,458,73,100,60,100,60,65,3,"Hace frente a Zangoose con su agilidad y su afilada
cola, que está cargada con un veneno letal."
337,Lunatone,Roca,Psiquico,440,70,55,65,95,85,70,3,"Se piensa que está muy influido por las fases lunares,
ya que solo actúa en noches de luna llena."
338,Solrock,Roca,Psiquico,440,70,95,85,55,65,70,3,"Usa el sol como fuente de energía, por lo que es más
poderoso de día. Brilla al rotar."
339,Barboach,Agua,Tierra,288,50,48,43,46,41,60,3,"Recubre su cuerpo de una película viscosa que le
permite escapar si alguien lo agarra."
340,Whiscash,Agua,Tierra,468,110,78,73,76,71,60,3,"Habita en grandes pantanos. Si se acerca un enemigo,
se alborota y causa temblores monumentales."
341,Corphish,Agua,,308,43,80,65,50,35,35,3,"Por sucio o contaminado que esté el río, se adaptan
rápido y se multiplican. Poseen una gran fuerza vital."
342,Crawdaunt,Agua,Siniestro,468,63,120,85,90,55,55,3,"Este malandrín usa sus pinzas para atosigar y expulsar
a los otros Pokémon que viven en su estanque."
343,Baltoy,Tierra,Psiquico,300,40,40,55,40,70,55,3,"Se mueve girando sobre su eje. También se le puede
ver girando cabeza abajo."
344,Claydol,Tierra,Psiquico,500,60,70,105,70,120,75,3,"Este Pokémon es una vieja figurilla de barro que cobró
vida mediante la exposición a extraños rayos de luz."
345,Lileep,Roca,Planta,355,66,41,77,61,87,23,3,"Se extinguió hace 100 millones de años. Sus
tentáculos parecen pétalos para atraer a sus presas."
346,Cradily,Roca,Planta,495,86,81,97,81,107,43,3,"Vive en el fondo de los mares de aguas templadas.
Emerge para cazar cuando baja la marea."
347,Anorith,Roca,Bicho,355,45,95,50,40,50,75,3,"Es una especie de Pokémon predecesor. Estira las
pinzas para cazar a sus presas, que se esconden en
las rocas del mar."
348,Armaldo,Roca,Bicho,495,75,125,100,70,80,45,3,"Ensarta a sus presas con sus gigantescas garras
elásticas. Una fuerte coraza cubre su cuerpo."
349,Feebas,Agua,,200,20,15,20,10,55,80,3,"Come de todo, por lo que puede vivir en aguas
contaminadas. Nadie le presta atención."
350,Milotic,Agua,,540,95,60,79,100,125,81,3,"Milotic es impresionantemente bello. Quienes lo ven,
temen perder las ganas de luchar contra él."
351,Castform,Normal,,420,70,70,70,70,70,70,3,"Sus células son muy sensibles a los cambios de
temperatura y humedad y se adapta sin problema."
352,Kecleon,Normal,,440,60,90,70,60,120,40,3,"Puede mudar el color de su cuerpo a voluntad, pero el
dibujo en zigzag de su panza nunca desaparece."
353,Shuppet,Fantasma,,295,44,75,35,63,33,45,3,"Dicen que con su cuerno se alimenta de sentimientos
de celos y envidia. Es muy activo a medianoche."
354,Banette,Fantasma,,455,64,115,65,83,63,65,3,"Este muñeco se convirtió en un Pokémon cuando lo
tiraron a la basura. Busca a su antiguo dueño."
355,Duskull,Fantasma,,295,20,40,90,30,90,25,3,"Persigue a su presa sin descanso allá donde vaya.
No obstante, abandona la caza al amanecer."
356,Dusclops,Fantasma,,455,40,70,130,60,130,25,3,"Si alguien mira los fuegos fatuos del interior de
Dusclops, perderá su alma irremediablemente."
357,Tropius,Planta,Volador,460,99,68,83,72,87,51,3,"Puede volar al agitar sus grandes hojas. Reparte entre
los niños la codiciada fruta dulce que crece de su
cuello."
358,Chimecho,Psiquico,,425,65,50,70,95,80,65,3,"Se cuelga de ramas y aleros con la ventosa de su
cabeza. Tiene siete tipos de gritos diferentes."
359,Absol,Siniestro,,465,65,130,60,75,60,75,3,"Presiente desastres inminentes y se aparece a la gente
para advertir del peligro."
360,Wynaut,Psiquico,,260,95,23,48,23,48,23,3,"Suelen ir en grupo y a la hora de dormir se resguardan
en una cueva."
361,Snorunt,Hielo,,300,50,50,50,50,50,50,3,"Se dice que se reúnen en grupos bajo hojas
gigantescas y viven allí en total armonía."
362,Glalie,Hielo,,480,80,80,80,80,80,80,3,"Se protege con una armadura de hielo creada por
congelación de la humedad del aire."
363,Spheal,Hielo,Agua,290,70,40,50,55,50,25,3,"Como no saben nadar muy bien, se mueven
rápidamente rodando. Cuando están alegres, dan
palmadas con las aletas."
364,Sealeo,Hielo,Agua,410,90,60,70,75,70,45,3,"Su nariz es muy sensible. Cuando ve algo por primera
vez, lo toca con ella para recordarlo después."
365,Walrein,Hielo,Agua,530,110,80,90,95,90,65,3,"Rompe el hielo con sus colmillos. Su gruesa capa de
grasa le protege del frío y de los enemigos."
366,Clamperl,Agua,,345,35,64,85,74,55,32,3,"Produce durante su vida una sola perla que aumenta
los poderes psíquicos al evolucionar."
367,Huntail,Agua,,485,55,104,105,94,75,52,3,"Vive en los abismos marinos, donde no se filtra la luz.
Tiene una cola en forma de pez, que enciende para
atraer a su presa."
368,Gorebyss,Agua,,485,55,84,105,114,75,52,3,"Vive en el fondo del mar. En primavera, su cuerpo
rosado adquiere colores más vivos."
369,Relicanth,Agua,Roca,485,100,90,130,45,65,55,3,"No ha sufrido ningún cambio desde hace 100 millones
de años. Fue descubierto durante una expedición
marina."
370,Luvdisc,Agua,,330,43,30,55,40,65,97,3,"Vive en mares cálidos. Se dice que, si una pareja lo
encuentra, será bendecida con amor eterno."
371,Bagon,Dragon,,300,45,75,60,40,30,50,3,"Su desarrollado cuello y su cabeza dura como el acero
le permiten reducir a añicos rocas enormes."
372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,"Las células han empezado a cambiar dentro de su dura
concha, que se separa cuando evoluciona."
373,Salamence,Dragon,Volador,600,95,135,80,110,80,100,3,"Si se enfada, no hay forma de calmarlo; lo destruye
todo lanzando arañazos y llamas."
374,Beldum,Acero,Psiquico,300,40,55,80,35,60,30,3,"Los pulsos magnéticos de su cuerpo repelen la
gravedad, lo que le permite flotar en el aire."
